CustomerID,LookalikeID,SimilarityScore
C0001,C0181,0.9993909765550407
C0001,C0055,0.996288368827149
C0001,C0035,0.9954509356368294
C0002,C0029,0.9999803544922413
C0002,C0062,0.9989387957445973
C0002,C0030,0.9982676525966139
C0003,C0136,0.994591084822027
C0003,C0110,0.9873039005963182
C0003,C0160,0.9847926355091003
C0004,C0017,0.9996588486600123
C0004,C0087,0.9988067874939532
C0004,C0041,0.9986806572351384
C0005,C0140,0.9989940830900188
C0005,C0186,0.998850936632242
C0005,C0199,0.9977707437669561
C0006,C0174,0.9994849097311632
C0006,C0011,0.9991525347051278
C0006,C0117,0.9984388707207734
C0007,C0115,0.9981914167701215
C0007,C0050,0.997830965761554
C0007,C0186,0.9955086053936825
C0008,C0152,0.9954612312544835
C0008,C0179,0.9940032344595229
C0008,C0164,0.9922022810136649
C0009,C0058,0.9882490052876706
C0009,C0103,0.985788371291185
C0009,C0198,0.9832836135103465
C0010,C0111,0.9972569987802165
C0010,C0134,0.9968007113180346
C0010,C0034,0.9911678366852188
C0011,C0064,0.9995517336208716
C0011,C0006,0.9991525347051278
C0011,C0168,0.9979889307076563
C0012,C0124,0.9979395866294661
C0012,C0113,0.9966891766434526
C0012,C0037,0.9963981805185607
C0013,C0145,0.9990458310200367
C0013,C0099,0.9989527304234163
C0013,C0022,0.9955779619441946
C0014,C0025,0.9931107519810962
C0014,C0172,0.9772333055343466
C0014,C0189,0.9756281609730496
C0015,C0123,0.9918443224483564
C0015,C0078,0.9905527072377406
C0015,C0044,0.9853217635244133
C0016,C0042,0.9941637848331949
C0016,C0107,0.9855682706033084
C0016,C0056,0.9855298374167345
C0017,C0004,0.9996588486600123
C0017,C0087,0.9996466693729498
C0017,C0041,0.9970126928243258
C0018,C0169,0.9961911372838971
C0018,C0142,0.9914461291280684
C0018,C0027,0.9888229042547422
C0019,C0191,0.99687911714591
C0019,C0085,0.996621531503096
C0019,C0047,0.9965518712830529
C0020,C0120,0.9939733649393557
C0020,C0140,0.9908339240520605
C0020,C0197,0.989279893757409
